,Wavelength,Luminosity
362,8292.561572269675,1.0838930222914003e+38
363,8279.1737384609,1.1121772411939064e+38
364,8265.829062654984,1.1356714002424514e+38
365,8252.527336496802,1.149729187718074e+38
366,8239.268352970255,1.1526291034697384e+38
367,8226.051906387529,1.1589458619044509e+38
368,8212.87779237845,1.309485731738836e+38
369,8199.745807879955,1.4759379277028855e+38
370,8186.655751125665,1.6018738634171152e+38
371,8173.607421635538,1.6445934105345939e+38
372,8160.600620205647,1.8429782860120602e+38
373,8147.635148898032,2.0478973588849585e+38
374,8134.710811030667,2.2575113408161027e+38
375,8121.827411167513,2.487501727193951e+38
376,8108.98475510866,2.706555453145441e+38
377,8096.182649880581,2.9257655537858903e+38
378,8083.420903726457,3.11831726558822e+38
379,8070.6993260966065,3.2880885183108415e+38
380,8058.017727639,3.458425385081308e+38
381,8045.37592018987,3.622724318217081e+38
382,8032.773716764399,3.778611842671123e+38
383,8020.2109315475,3.927402206871837e+38
384,8007.68737988469,4.076978558155526e+38
385,7995.202878273038,4.254885320239455e+38
386,7982.7572443522,4.40879098567837e+38
387,7970.350296895549,4.560627774350246e+38
388,7957.98185580137,4.6861523352955155e+38
389,7945.651742084146,4.801692541480445e+38
390,7933.359777865927,4.930844004415425e+38
391,7921.105786367778,5.049578198363304e+38
392,7908.889591901298,5.173848868787402e+38
393,7896.711019860229,5.289240649394296e+38
394,7884.569896712135,5.4022974887161546e+38
395,7872.46604999016,5.508864635207798e+38
396,7860.399308284863,5.6126219962292585e+38
397,7848.369501236119,5.7167751654061255e+38
398,7836.376459525117,5.8182657308590136e+38
399,7824.420014866399,5.910566345685868e+38
400,7812.500000000001,5.996562750842573e+38
401,7800.6162486836465,6.0725665960776715e+38
402,7788.768595685023,6.1355362100352e+38
403,7776.956876774119,6.189832906027254e+38
404,7765.18092871564,6.232307150988586e+38
405,7753.440589261486,6.268439899111219e+38
406,7741.7356971433,6.299266207573984e+38
407,7730.066092065088,6.3162506298056114e+38
408,7718.4316146958945,6.331780755342569e+38
409,7706.832106662557,6.3402449051629704e+38
410,7695.267410542517,6.311064240935575e+38
411,7683.737369856699,6.203157791377677e+38
412,7672.241829062453,5.953641062018819e+38
413,7660.780633546559,5.609670794277898e+38
414,7649.353629618298,5.4285156446549275e+38
415,7637.960664502579,5.426065483005012e+38
416,7626.60158633313,5.433801703838507e+38
417,7615.276244145758,5.440941873227451e+38
418,7603.984487871646,5.45084902339653e+38
419,7592.72616833074,5.462144488150524e+38
420,7581.501137225171,5.482306224797296e+38
421,7570.309247132746,5.495294784395821e+38
422,7559.150351500492,5.435931156573172e+38
423,7548.024304638262,5.243748324400277e+38
424,7536.930961712392,4.952610753977957e+38
425,7525.8701787394175,4.7348338119772395e+38
426,7514.841812579846,4.601643747867546e+38
427,7503.845720931979,4.4928925990465775e+38
428,7492.881762325792,4.490427411846366e+38
429,7481.949796116869,4.623983349519701e+38
430,7471.0496824803895,4.8119303476351554e+38
431,7460.181282405163,4.992084741247746e+38
432,7449.344457687725,5.1647417734732406e+38
